dayOfWeek,hourOfDay,P1,P2,year,month
Monday,0,4.257499999999999,1.3475,2021,11
Monday,1,3.9896000000000003,1.3439999999999999,2021,11
Monday,2,3.947600000000001,1.3572,2021,11
Monday,3,4.615416666666666,1.4516666666666669,2021,11
Monday,4,5.415200000000001,1.4891999999999999,2021,11
Monday,5,5.7288,1.6196000000000002,2021,11
Monday,6,5.774999999999999,1.5974999999999995,2021,11
Monday,7,6.4872000000000005,1.6452000000000004,2021,11
Monday,8,7.356666666666666,1.9379166666666665,2021,11
Monday,9,7.410399999999999,1.8936000000000002,2021,11
Monday,10,7.2735,1.6765,2021,11
Monday,11,7.955,1.7094444444444443,2021,11
Monday,12,8.396666666666668,1.7646666666666664,2021,11
Monday,13,9.946111111111112,2.122777777777778,2021,11
Monday,14,9.446666666666667,2.0233333333333334,2021,11
Monday,15,11.223181818181818,2.3622727272727277,2021,11
Monday,16,9.641200000000001,2.4144,2021,11
Monday,17,10.499583333333334,2.93625,2021,11
Monday,18,12.755199999999997,3.5576,2021,11
Monday,19,15.139999999999999,4.989583333333334,2021,11
Monday,20,13.0968,4.398399999999999,2021,11
Monday,21,12.829599999999997,4.373600000000001,2021,11
Monday,22,12.148749999999998,4.107916666666667,2021,11
Monday,23,14.206666666666669,5.1937500000000005,2021,11
Sunday,9,6.123333333333334,1.0713333333333332,2021,11
Sunday,10,4.915,1.026111111111111,2021,11
Sunday,11,5.149444444444445,0.9844444444444443,2021,11
Sunday,12,21.47764705882353,7.639411764705883,2021,11
Sunday,13,10.269090909090908,3.284545454545454,2021,11
Sunday,14,3.9849999999999994,1.1831818181818181,2021,11
Sunday,15,5.894399999999999,1.8867999999999996,2021,11
Sunday,16,3.891599999999999,1.2935999999999999,2021,11
Sunday,17,5.007916666666667,1.9079166666666667,2021,11
Sunday,18,4.9856,1.8092,2021,11
Sunday,19,4.250416666666665,1.6524999999999999,2021,11
Sunday,20,6.3348,2.2292,2021,11
Sunday,21,3.838750000000001,1.3949999999999998,2021,11
Sunday,22,3.9788,1.1784000000000001,2021,11
Sunday,23,4.1688,1.3215999999999999,2021,11
Tuesday,0,14.458800000000004,5.8872,2021,11
Tuesday,1,14.661666666666667,6.237500000000001,2021,11
Tuesday,2,14.5304,6.652800000000001,2021,11
Tuesday,3,13.783599999999996,6.486399999999999,2021,11
Tuesday,4,14.954166666666667,6.842083333333332,2021,11
Tuesday,5,16.5936,7.292000000000001,2021,11
Tuesday,6,15.936799999999998,7.407600000000001,2021,11
Tuesday,7,16.501250000000002,7.9025,2021,11
Tuesday,8,18.352000000000004,8.2904,2021,11
Tuesday,9,18.301304347826086,8.160434782608695,2021,11
Tuesday,10,18.903333333333336,8.488095238095237,2021,11
Tuesday,11,20.256842105263154,8.975263157894735,2021,11
Tuesday,12,15.039375,5.478749999999999,2021,11
Tuesday,13,11.488999999999999,4.0525,2021,11
Tuesday,14,11.357142857142854,4.698095238095238,2021,11
Tuesday,15,12.077083333333336,4.854166666666667,2021,11
Tuesday,16,15.017199999999997,6.6751999999999985,2021,11
Tuesday,17,15.835999999999997,7.2736,2021,11
Tuesday,18,17.16,8.289166666666667,2021,11
Tuesday,19,16.3268,8.0976,2021,11
Tuesday,20,14.063333333333334,7.712499999999999,2021,11
Tuesday,21,10.935200000000002,5.975599999999998,2021,11
Tuesday,22,9.475199999999996,5.1644000000000005,2021,11
Tuesday,23,7.883749999999998,4.952083333333333,2021,11
Wednesday,0,6.706000000000001,4.5456,2021,11
Wednesday,1,8.510399999999999,5.7436,2021,11
Wednesday,2,9.312083333333332,6.312916666666665,2021,11
Wednesday,3,7.747199999999999,5.2104,2021,11
Wednesday,4,4.4468000000000005,3.242400000000001,2021,11
Wednesday,5,4.570416666666666,3.0775,2021,11
Wednesday,6,5.1744,3.3316000000000003,2021,11
Wednesday,7,8.126249999999997,4.324166666666666,2021,11
Wednesday,8,5.639600000000001,3.1512000000000007,2021,11
Wednesday,9,4.849199999999999,2.5616000000000003,2021,11
Wednesday,10,7.083529411764705,3.7382352941176475,2021,11
Wednesday,11,10.47263157894737,5.206315789473684,2021,11
Wednesday,12,12.74909090909091,5.856363636363636,2021,11
Wednesday,13,10.936521739130436,5.177826086956522,2021,11
Wednesday,14,6.516521739130433,3.3465217391304347,2021,11
Wednesday,15,8.134166666666667,3.4737500000000003,2021,11
Wednesday,16,10.575999999999999,4.187199999999999,2021,11
Wednesday,17,12.819600000000001,5.8032,2021,11
Wednesday,18,14.10125,7.224166666666665,2021,11
Wednesday,19,21.374000000000002,10.3392,2021,11
Wednesday,20,25.422916666666666,12.645000000000003,2021,11
Wednesday,21,32.632000000000005,16.034,2021,11
Wednesday,22,24.4852,12.962399999999995,2021,11
Wednesday,23,11.988333333333335,5.726666666666666,2021,11
