dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,5.593243243243242,2.270405405405405,2022,7
Friday,1,5.401081081081082,2.2147297297297306,2022,7
Friday,2,4.421506849315069,1.8565753424657534,2022,7
Friday,3,3.889866666666667,1.6444,2022,7
Friday,4,4.715405405405406,2.0101351351351346,2022,7
Friday,5,5.540833333333333,2.308194444444444,2022,7
Friday,6,3.8266666666666658,1.2697333333333334,2022,7
Friday,7,3.965945945945946,1.013783783783784,2022,7
Friday,8,5.45164383561644,1.318356164383562,2022,7
Friday,9,5.3336507936507935,1.2533333333333334,2022,7
Friday,10,4.162641509433962,1.1783018867924528,2022,7
Friday,11,3.9295238095238103,1.1768253968253968,2022,7
Friday,12,4.851774193548388,1.5482258064516126,2022,7
Friday,13,3.823835616438356,1.4657534246575343,2022,7
Friday,14,4.381866666666668,1.3975999999999995,2022,7
Friday,15,3.9113513513513505,1.3091891891891887,2022,7
Friday,16,4.261388888888888,1.4216666666666666,2022,7
Friday,17,5.223013698630135,1.988767123287671,2022,7
Friday,18,5.832463768115943,2.117826086956521,2022,7
Friday,19,6.641891891891893,2.7693243243243235,2022,7
Friday,20,6.885600000000001,2.7815999999999996,2022,7
Friday,21,6.314109589041097,2.6172602739726027,2022,7
Friday,22,6.269027777777778,2.8825000000000003,2022,7
Friday,23,5.1606944444444425,2.3725000000000005,2022,7
Monday,0,6.510416666666664,2.897361111111111,2022,7
Monday,1,6.020533333333332,2.902266666666666,2022,7
Monday,2,6.3728767123287655,2.9283561643835614,2022,7
Monday,3,6.286081081081082,2.938378378378378,2022,7
Monday,4,7.519866666666667,3.7292000000000005,2022,7
Monday,5,7.290547945205481,3.360136986301369,2022,7
Monday,6,7.900135135135136,3.179729729729729,2022,7
Monday,7,10.747333333333337,3.7385333333333324,2022,7
Monday,8,9.68138888888889,3.415,2022,7
Monday,9,9.240819672131146,3.1688524590163936,2022,7
Monday,10,6.32403846153846,1.955769230769231,2022,7
Monday,11,4.414883720930232,1.4744186046511627,2022,7
Monday,12,4.430862068965516,1.5117241379310344,2022,7
Monday,13,4.433424657534245,1.4975342465753425,2022,7
Monday,14,5.351486486486488,2.0047297297297293,2022,7
Monday,15,4.690547945205479,1.7682191780821916,2022,7
Monday,16,4.158108108108107,1.4394594594594596,2022,7
Monday,17,4.804999999999998,1.4512162162162163,2022,7
Monday,18,3.994109589041095,1.295753424657534,2022,7
Monday,19,3.725945945945945,1.507702702702703,2022,7
Monday,20,5.5064864864864855,1.813513513513514,2022,7
Monday,21,5.441249999999998,2.1940277777777775,2022,7
Monday,22,4.610270270270269,1.9758108108108101,2022,7
Monday,23,4.486,1.9909333333333332,2022,7
Saturday,0,5.320694444444445,2.1902777777777773,2022,7
Saturday,1,4.886666666666667,2.033866666666666,2022,7
Saturday,2,4.969726027397261,2.126164383561644,2022,7
Saturday,3,5.421486486486486,2.2810810810810813,2022,7
Saturday,4,5.873066666666667,2.569733333333333,2022,7
Saturday,5,6.188783783783785,2.383648648648648,2022,7
Saturday,6,5.26767123287671,2.14,2022,7
Saturday,7,6.064520547945206,2.5345205479452053,2022,7
Saturday,8,5.653918918918916,2.266486486486486,2022,7
Saturday,9,4.672714285714286,1.9574285714285715,2022,7
Saturday,10,2.7084848484848485,1.5812121212121215,2022,7
Saturday,11,2.933,1.6881428571428572,2022,7
Saturday,12,2.635573770491803,1.4513114754098362,2022,7
Saturday,13,3.972739726027397,2.091506849315069,2022,7
Saturday,14,4.137333333333332,2.1536,2022,7
Saturday,15,5.4905633802816896,2.3954929577464785,2022,7
Saturday,16,4.703243243243244,2.1959459459459456,2022,7
Saturday,17,5.020694444444445,2.4784722222222215,2022,7
Saturday,18,5.4173333333333344,2.7134666666666667,2022,7
Saturday,19,6.406301369863011,2.9215068493150684,2022,7
Saturday,20,8.322162162162163,3.6686486486486474,2022,7
Saturday,21,8.116216216216214,3.332297297297297,2022,7
Saturday,22,7.317808219178083,2.6720547945205477,2022,7
Saturday,23,6.59472972972973,2.3544594594594597,2022,7
Sunday,0,6.499722222222223,2.4718055555555565,2022,7
Sunday,1,5.629850746268654,2.4791044776119397,2022,7
Sunday,2,5.2964179104477624,2.2889552238805972,2022,7
Sunday,3,4.112058823529413,2.0429411764705883,2022,7
Sunday,4,4.994266666666666,2.217866666666666,2022,7
Sunday,5,6.163648648648651,2.8331081081081066,2022,7
Sunday,6,9.342533333333334,4.782533333333334,2022,7
Sunday,7,9.372638888888888,4.791805555555556,2022,7
Sunday,8,8.228933333333334,3.9542666666666664,2022,7
Sunday,9,6.943934426229513,3.094426229508195,2022,7
Sunday,10,6.1177777777777775,2.354920634920635,2022,7
Sunday,11,5.723870967741937,2.4441935483870965,2022,7
Sunday,12,3.8456923076923073,1.7755384615384613,2022,7
Sunday,13,3.5506756756756763,1.545540540540541,2022,7
Sunday,14,3.6170833333333334,1.6822222222222223,2022,7
Sunday,15,3.604225352112676,1.6057746478873238,2022,7
Sunday,16,3.5913888888888885,1.6256944444444443,2022,7
Sunday,17,3.4095945945945947,1.6732432432432434,2022,7
Sunday,18,3.518714285714285,1.879285714285714,2022,7
Sunday,19,4.1786111111111115,2.037361111111111,2022,7
Sunday,20,5.224383561643837,2.49917808219178,2022,7
Sunday,21,6.74689189189189,3.059459459459459,2022,7
Sunday,22,6.958767123287673,2.906438356164384,2022,7
Sunday,23,6.166133333333334,2.9280000000000013,2022,7
Thursday,0,6.607399999999999,2.2398000000000002,2022,7
Thursday,1,5.162916666666666,1.6702083333333337,2022,7
Thursday,2,4.136874999999999,1.4566666666666668,2022,7
Thursday,3,2.9589999999999996,1.0500000000000003,2022,7
Thursday,4,3.0968,1.153,2022,7
Thursday,5,3.4072916666666675,1.252916666666667,2022,7
Thursday,6,3.2859999999999996,1.2524000000000004,2022,7
Thursday,7,3.7306,1.3054,2022,7
Thursday,8,5.132916666666667,1.6349999999999998,2022,7
Thursday,9,5.160000000000001,1.6161538461538463,2022,7
Thursday,10,5.787894736842105,2.0889473684210516,2022,7
Thursday,11,4.17225806451613,1.4758064516129032,2022,7
Thursday,12,4.338636363636365,1.584772727272727,2022,7
Thursday,13,4.257777777777779,1.5461111111111108,2022,7
Thursday,14,4.9174999999999995,1.4124999999999999,2022,7
Thursday,15,4.855199999999999,1.2927999999999997,2022,7
Thursday,16,4.505,1.3283333333333334,2022,7
Thursday,17,6.055200000000001,2.0848,2022,7
Thursday,18,4.743333333333333,1.78875,2022,7
Thursday,19,6.923333333333333,2.317222222222222,2022,7
Thursday,20,8.3065306122449,3.289387755102041,2022,7
Thursday,21,7.08,2.632448979591837,2022,7
Thursday,22,7.327142857142857,2.7738775510204072,2022,7
Thursday,23,9.598958333333334,3.951041666666667,2022,7
Tuesday,0,3.3072916666666665,1.1947916666666665,2022,7
Tuesday,1,3.2951999999999995,1.4024,2022,7
Tuesday,2,3.8277083333333337,1.6960416666666667,2022,7
Tuesday,3,4.2780000000000005,1.7758,2022,7
Tuesday,4,4.7004,1.9654000000000003,2022,7
Tuesday,5,4.048085106382978,1.6493617021276592,2022,7
Tuesday,6,6.966938775510202,2.346122448979592,2022,7
Tuesday,7,6.459800000000001,1.7431999999999999,2022,7
Tuesday,8,6.987234042553191,1.5908510638297872,2022,7
Tuesday,9,6.785641025641025,1.5784615384615386,2022,7
Tuesday,10,5.2046511627906975,1.4697674418604654,2022,7
Tuesday,11,7.044634146341462,1.6334146341463418,2022,7
Tuesday,12,6.811904761904761,1.7992857142857148,2022,7
Tuesday,13,6.357659574468083,1.6623404255319154,2022,7
Tuesday,14,5.404897959183674,1.718979591836734,2022,7
Tuesday,15,4.751799999999999,1.5099999999999998,2022,7
Tuesday,16,4.9053061224489785,1.5224489795918366,2022,7
Tuesday,17,4.162040816326531,1.521224489795918,2022,7
Tuesday,18,4.5798000000000005,1.6406,2022,7
Tuesday,19,4.12625,1.9450000000000003,2022,7
Tuesday,20,5.1847916666666665,2.19875,2022,7
Tuesday,21,5.171250000000001,2.2147916666666663,2022,7
Tuesday,22,5.295102040816326,2.1665306122448977,2022,7
Tuesday,23,4.608979591836733,2.12734693877551,2022,7
Wednesday,0,4.798799999999999,1.9221999999999997,2022,7
Wednesday,1,4.498775510204082,1.9099999999999995,2022,7
Wednesday,2,3.9412244897959177,1.7822448979591834,2022,7
Wednesday,3,4.3278,2.1454,2022,7
Wednesday,4,5.08591836734694,2.518775510204082,2022,7
Wednesday,5,4.536530612244898,2.303469387755102,2022,7
Wednesday,6,4.8044,2.286399999999999,2022,7
Wednesday,7,4.763800000000001,2.2714000000000003,2022,7
Wednesday,8,5.232708333333334,2.1064583333333338,2022,7
Wednesday,9,4.765,1.849047619047619,2022,7
Wednesday,10,4.394651162790697,1.6190697674418606,2022,7
Wednesday,11,3.2672093023255817,1.3565116279069767,2022,7
Wednesday,12,3.8014285714285725,1.4409523809523812,2022,7
Wednesday,13,4.840204081632653,1.5528571428571432,2022,7
Wednesday,14,4.99142857142857,1.6016326530612244,2022,7
Wednesday,15,5.48326530612245,1.6093877551020408,2022,7
Wednesday,16,7.033199999999998,1.8878000000000004,2022,7
Wednesday,17,9.197291666666667,2.594166666666666,2022,7
Wednesday,18,6.930400000000001,1.8266000000000002,2022,7
Wednesday,19,6.0512500000000005,2.1233333333333335,2022,7
Wednesday,20,6.621999999999999,2.0707999999999998,2022,7
Wednesday,21,6.8629999999999995,2.3329999999999997,2022,7
Wednesday,22,10.01423076923077,3.2084615384615387,2022,7
Wednesday,23,8.758888888888889,2.744999999999999,2022,7
